date,side,loss_count
2022-02-24,Ukraine,50
2022-02-25,Ukraine,14
2022-02-26,Ukraine,5
2022-02-27,Ukraine,10
2022-02-28,Ukraine,11
2022-03-01,Ukraine,8
2022-03-02,Ukraine,6
2022-03-03,Ukraine,15
2022-03-04,Ukraine,13
2022-03-05,Ukraine,2
2022-03-06,Ukraine,2
2022-03-07,Ukraine,1
2022-03-08,Ukraine,2
2022-03-09,Ukraine,1
2022-03-10,Ukraine,3
2022-03-11,Ukraine,2
2022-03-12,Ukraine,3
2022-03-13,Ukraine,2
2022-03-14,Ukraine,4
2022-03-15,Ukraine,18
2022-03-16,Ukraine,5
2022-03-18,Ukraine,2
2022-03-20,Ukraine,2
2022-03-23,Ukraine,1
2022-03-24,Ukraine,2
2022-03-25,Ukraine,4
2022-03-26,Ukraine,1
2022-03-27,Ukraine,2
2022-03-28,Ukraine,4
2022-03-29,Ukraine,1
2022-03-30,Ukraine,11
2022-03-31,Ukraine,23
2022-04-01,Ukraine,3
2022-04-02,Ukraine,5
2022-04-03,Ukraine,3
2022-04-04,Ukraine,4
2022-04-05,Ukraine,7
2022-04-06,Ukraine,4
2022-04-07,Ukraine,9
2022-04-08,Ukraine,2
2022-04-09,Ukraine,2
2022-04-10,Ukraine,7
2022-04-12,Ukraine,3
2022-04-13,Ukraine,5
2022-04-14,Ukraine,4
2022-04-15,Ukraine,8
2022-04-16,Ukraine,11
2022-04-17,Ukraine,1
2022-04-19,Ukraine,8
2022-04-20,Ukraine,2
2022-04-21,Ukraine,1
2022-04-22,Ukraine,3
2022-04-23,Ukraine,7
2022-04-24,Ukraine,4
2022-04-26,Ukraine,1
2022-04-27,Ukraine,2
2022-04-28,Ukraine,2
2022-04-29,Ukraine,1
2022-04-30,Ukraine,9
2022-05-01,Ukraine,2
2022-05-02,Ukraine,1
2022-05-03,Ukraine,2
2022-05-04,Ukraine,2
2022-05-05,Ukraine,6
2022-05-07,Ukraine,12
2022-05-08,Ukraine,1
2022-05-10,Ukraine,2
2022-05-12,Ukraine,1
2022-05-14,Ukraine,8
2022-05-15,Ukraine,8
2022-05-16,Ukraine,2
2022-05-17,Ukraine,2
2022-05-18,Ukraine,13
2022-05-20,Ukraine,4
2022-05-21,Ukraine,1
2022-05-22,Ukraine,1
2022-05-23,Ukraine,1
2022-05-24,Ukraine,1
2022-05-25,Ukraine,2
2022-05-28,Ukraine,1
2022-05-29,Ukraine,2
2022-05-30,Ukraine,2
2022-05-31,Ukraine,25
2022-06-01,Ukraine,1
2022-06-02,Ukraine,5
2022-06-03,Ukraine,6
2022-06-04,Ukraine,1
2022-06-06,Ukraine,1
2022-06-07,Ukraine,2
2022-06-09,Ukraine,1
2022-06-11,Ukraine,3
2022-06-13,Ukraine,3
2022-06-14,Ukraine,1
2022-06-15,Ukraine,1
2022-06-16,Ukraine,2
2022-06-17,Ukraine,1
2022-06-18,Ukraine,1
2022-06-20,Ukraine,2
2022-06-21,Ukraine,2
2022-06-22,Ukraine,1
2022-06-24,Ukraine,2
2022-06-25,Ukraine,1
2022-06-26,Ukraine,1
2022-06-28,Ukraine,2
2022-06-30,Ukraine,4
2022-07-01,Ukraine,1
2022-07-02,Ukraine,2
2022-07-03,Ukraine,3
2022-07-04,Ukraine,4
2022-07-06,Ukraine,2
2022-07-07,Ukraine,1
2022-07-08,Ukraine,3
2022-07-09,Ukraine,1
2022-07-10,Ukraine,6
2022-07-13,Ukraine,2
2022-07-15,Ukraine,1
2022-07-16,Ukraine,3
2022-07-17,Ukraine,7
2022-07-19,Ukraine,1
2022-07-20,Ukraine,2
2022-07-21,Ukraine,2
2022-07-22,Ukraine,2
2022-07-23,Ukraine,7
2022-07-25,Ukraine,3
2022-07-28,Ukraine,4
2022-07-29,Ukraine,2
2022-07-30,Ukraine,1
2022-07-31,Ukraine,1
2022-08-02,Ukraine,2
2022-08-06,Ukraine,1
2022-08-07,Ukraine,1
2022-08-08,Ukraine,1
2022-08-09,Ukraine,4
2022-08-10,Ukraine,1
2022-08-11,Ukraine,1
2022-08-14,Ukraine,2
2022-08-17,Ukraine,1
2022-08-19,Ukraine,3
2022-08-20,Ukraine,2
2022-08-21,Ukraine,2
2022-08-23,Ukraine,1
2022-08-24,Ukraine,1
2022-08-25,Ukraine,1
2022-08-29,Ukraine,5
2022-08-30,Ukraine,2
2022-08-31,Ukraine,8
2022-09-01,Ukraine,1
2022-09-02,Ukraine,1
2022-09-03,Ukraine,2
2022-09-05,Ukraine,2
2022-09-06,Russia,1
2022-09-08,Ukraine,1
2022-09-09,Ukraine,4
2022-09-10,Ukraine,2
2022-09-11,Ukraine,3
2022-09-12,Ukraine,1
2022-09-13,Ukraine,1
2022-09-14,Ukraine,1
2022-09-16,Ukraine,3
2022-09-19,Ukraine,1
2022-09-20,Ukraine,1
2022-09-21,Ukraine,14
2022-09-22,Ukraine,2
2022-09-23,Ukraine,1
2022-09-24,Ukraine,3
2022-09-26,Ukraine,2
2022-09-27,Ukraine,3
2022-09-28,Ukraine,1
2022-09-29,Ukraine,5
2022-09-30,Ukraine,2
2022-10-01,Ukraine,3
2022-10-02,Ukraine,1
2022-10-03,Ukraine,1
2022-10-08,Ukraine,1
2022-10-09,Ukraine,4
2022-10-10,Ukraine,1
2022-10-13,Ukraine,2
2022-10-14,Ukraine,1
2022-10-18,Ukraine,2
2022-10-19,Ukraine,1
2022-10-20,Ukraine,5
2022-10-21,Ukraine,2
2022-10-22,Ukraine,2
2022-10-23,Ukraine,1
2022-10-24,Ukraine,1
2022-10-25,Ukraine,2
2022-10-26,Ukraine,1
2022-10-27,Ukraine,2
2022-10-29,Ukraine,1
2022-10-30,Ukraine,1
2022-10-31,Ukraine,4
2022-11-01,Ukraine,3
2022-11-03,Ukraine,2
2022-11-04,Ukraine,1
2022-11-05,Ukraine,1
2022-11-06,Ukraine,1
2022-11-07,Ukraine,1
2022-11-08,Ukraine,1
2022-11-09,Ukraine,5
2022-11-10,Ukraine,2
2022-11-11,Ukraine,1
2022-11-12,Ukraine,5
2022-11-13,Ukraine,18
2022-11-14,Ukraine,2
2022-11-15,Ukraine,1
2022-11-16,Ukraine,2
2022-11-17,Ukraine,1
2022-11-21,Ukraine,1
2022-11-22,Ukraine,1
2022-11-23,Ukraine,1
2022-11-25,Ukraine,1
2022-11-27,Ukraine,1
2022-11-29,Ukraine,1
2022-11-30,Ukraine,24
2022-12-03,Ukraine,1
2022-12-05,Ukraine,2
2022-12-06,Ukraine,1
2022-12-11,Ukraine,1
2022-12-12,Ukraine,1
2022-12-14,Ukraine,2
2022-12-16,Ukraine,2
2022-12-17,Ukraine,1
2022-12-18,Ukraine,4
2022-12-19,Ukraine,2
2022-12-21,Ukraine,1
2022-12-22,Ukraine,1
2022-12-24,Ukraine,5
2022-12-25,Ukraine,1
2022-12-26,Ukraine,1
2022-12-27,Ukraine,1
2022-12-29,Ukraine,2
2022-12-30,Ukraine,1
2022-12-31,Ukraine,10
2023-01-01,Ukraine,3
2023-01-02,Ukraine,3
2023-01-03,Ukraine,2
2023-01-05,Ukraine,3
2023-01-06,Ukraine,2
2023-01-07,Ukraine,5
2023-01-08,Ukraine,4
2023-01-09,Ukraine,3
2023-01-10,Ukraine,3
2023-01-11,Ukraine,3
2023-01-12,Ukraine,5
2023-01-13,Ukraine,1
2023-01-14,Ukraine,6
2023-01-15,Ukraine,3
2023-01-16,Ukraine,4
2023-01-17,Ukraine,3
2023-01-18,Ukraine,4
2023-01-20,Ukraine,5
2023-01-21,Ukraine,1
2023-01-22,Ukraine,1
2023-01-23,Ukraine,2
