side,date,loss_count
Russia,2022-02-27,318
Russia,2022-03-06,585
Russia,2022-03-13,295
Russia,2022-03-20,432
Russia,2022-03-27,310
Russia,2022-04-03,746
Russia,2022-04-10,369
Russia,2022-04-17,188
Russia,2022-04-24,128
Russia,2022-05-01,187
Russia,2022-05-08,201
Russia,2022-05-15,222
Russia,2022-05-22,101
Russia,2022-05-29,51
Russia,2022-06-05,133
Russia,2022-06-12,115
Russia,2022-06-19,105
Russia,2022-06-26,81
Russia,2022-07-03,128
Russia,2022-07-10,98
Russia,2022-07-17,61
Russia,2022-07-24,64
Russia,2022-07-31,89
Russia,2022-08-07,63
Russia,2022-08-14,92
Russia,2022-08-21,44
Russia,2022-08-28,85
Russia,2022-09-04,133
Russia,2022-09-11,373
Russia,2022-09-18,406
Russia,2022-09-25,176
Russia,2022-10-02,252
Russia,2022-10-09,289
Russia,2022-10-16,155
Russia,2022-10-23,132
Russia,2022-10-30,132
Russia,2022-11-06,121
Russia,2022-11-13,229
Russia,2022-11-20,127
Russia,2022-11-27,66
Russia,2022-12-04,271
Russia,2022-12-11,73
Russia,2022-12-18,45
Russia,2022-12-25,37
Russia,2023-01-01,89
Russia,2023-01-08,54
Russia,2023-01-15,60
Russia,2023-01-22,50
Russia,2023-01-29,66
Russia,2023-02-05,69
Russia,2023-02-12,113
Russia,2023-02-19,69
Russia,2023-02-26,77
Russia,2023-03-05,142
Russia,2023-03-12,57
Russia,2023-03-19,80
Russia,2023-03-26,86
Russia,2023-04-02,65
Russia,2023-04-09,52
Russia,2023-04-16,43
Russia,2023-04-23,44
Russia,2023-04-30,73
Russia,2023-05-07,57
Russia,2023-05-14,56
Russia,2023-05-21,72
Russia,2023-05-28,73
Russia,2023-06-04,86
Russia,2023-06-11,74
Russia,2023-06-18,98
Russia,2023-06-25,90
Russia,2023-07-02,79
Russia,2023-07-09,92
Russia,2023-07-16,87
Russia,2023-07-23,105
Russia,2023-07-30,93
Russia,2023-08-06,92
Russia,2023-08-13,72
Russia,2023-08-20,87
Russia,2023-08-27,87
Russia,2023-09-03,131
Russia,2023-09-10,105
Russia,2023-09-17,52
Russia,2023-09-24,74
Russia,2023-10-01,98
Russia,2023-10-08,72
