equipment_type,side,loss_count
Infantry fighting vehicles,Russia,8748
Transport,Russia,4405
Tanks,Russia,4028
Self-propelled artillery,Russia,994
Drones,Russia,815
Engineering,Russia,658
Infantry mobility vehicles,Russia,580
Rocket and missile artillery,Russia,578
Anti-aircraft systems,Russia,561
Towed artillery,Russia,477
"Command posts, communication",Russia,393
"Radars, jammers",Russia,199
Other,Russia,169
Helicopters,Russia,135
Airplanes,Russia,125
"Ambulances, medical vehicles",Russia,81
Anti-tank systems,Russia,46
Vessels,Russia,31
