category,Russia,Ukraine,rate_ratio_russia_vs_ukraine
Armoured Fighting Vehicles,2414.0,537.0,4.495344506517691
Armoured Personnel Carriers,733.0,1389.0,0.5277177825773938
Artillery and Missile Support Vehicles And Equipment,179.0,0.0,
Command Posts And Communications Stations,320.0,0.0,
Engineering Vehicles And Equipment,724.0,290.0,2.496551724137931
Infantry Fighting Vehicles,6437.0,1586.0,4.058638083228248
Infantry Mobility Vehicles,429.0,1845.0,0.23252032520325203
Mine-Resistant Ambush Protected (MRAP) Vehicles,63.0,946.0,0.06659619450317125
Radars And Communications Equipment,0.0,145.0,0.0
Rocket and Missile Artillery,601.0,0.0,
Self-Propelled Anti-Aircraft Guns,28.0,50.0,0.56
Self-Propelled Anti-Tank Missile Systems,47.0,19.0,2.473684210526316
Self-Propelled Artillery,1020.0,870.0,1.1724137931034482
Surface-To-Air Missile Systems,422.0,178.0,2.3707865168539324
Tanks,4397.0,1426.0,3.0834502103786816
Towed Artillery,559.0,279.0,2.003584229390681
Trucks and similar vehicles,4504.0,1355.0,3.3239852398523984
